ST	aroE	gdh	gki	recP	spi	xpt	ddl
155	7	11	10	1	5	18	1
156	7	11	10	1	6	8	1
157	7	11	10	1	1	8	1
158	7	11	10	1	20	8	1
159	7	11	10	1	1	8	14
160	7	11	10	1	21	8	1
161	7	11	10	1	10	8	14
162	7	11	10	1	6	8	14
163	7	11	10	12	6	8	14
164	7	11	10	1	6	34	1
165	7	11	10	6	6	8	14
166	7	11	10	1	6	1	1
167	7	11	10	1	4	8	1
168	7	11	10	1	6	42	1
169	7	13	1	6	5	6	8
170	7	13	4	6	10	6	14
171	7	13	8	6	6	6	14
172	7	13	8	6	25	6	8
173	7	13	8	1	10	6	36
174	7	13	8	1	29	6	36
175	7	5	4	26	10	3	55
176	7	13	8	6	10	6	14
177	7	14	4	12	1	1	14
178	7	14	4	12	1	14	8
179	7	14	40	12	1	1	14
180	7	15	2	10	6	1	22
181	7	15	2	10	10	1	22
182	7	15	2	10	7	1	22
183	7	15	27	10	6	1	22
184	7	21	26	1	10	25	14
185	7	22	1	2	5	1	14
186	7	23	1	1	14	28	31
187	7	25	4	2	15	1	28
188	7	30	34	10	6	19	14
189	8	4	2	4	4	1	1
190	8	8	9	9	6	4	6
191	8	9	2	1	6	1	17
192	8	9	2	1	10	1	17
193	8	10	2	16	1	26	1
194	8	10	9	8	6	1	14
195	8	11	10	1	6	36	38
196	8	11	19	15	6	40	26
197	8	13	2	16	1	26	1
198	8	13	4	8	6	22	34
199	8	13	14	4	17	4	14
200	8	13	14	4	1	4	14
